age,gender,income_annual,occupation,education,category,state,is_farmer,has_disability,land_holding_acres,has_bpl_card,family_size,PM_KISAN,PMAY,Ayushman_Bharat,PM_Scholarship,Kisan_Credit_Card,PMEGP,Disability_Pension,Minority_Scholarship
56,Female,303672,Student,Postgraduate,General,Madhya Pradesh,0,0,0.09,1,2,0,0,1,0,0,0,0,0
69,Male,937272,Student,Graduate,ST,Gujarat,0,0,0.55,0,1,0,0,1,0,0,0,0,1
46,Female,210680,Unemployed,Postgraduate,OBC,Punjab,0,0,0.35,0,9,0,0,0,0,1,0,0,0
32,Female,429130,Business,Secondary,General,Gujarat,0,0,0.03,0,5,0,0,0,0,0,1,0,0
60,Male,591424,Farmer,Secondary,General,Maharashtra,1,0,5.05,0,9,0,0,0,0,1,0,0,0
25,Female,958683,Farmer,Graduate,SC,Gujarat,1,0,7.5,0,8,0,0,0,0,1,0,0,0
78,Male,378152,Student,Secondary,SC,Madhya Pradesh,0,0,0.25,0,7,0,0,0,0,0,0,0,1
38,Female,566364,Farmer,Graduate,General,Karnataka,1,0,5.14,0,6,0,0,1,0,1,0,0,0
56,Female,940343,Salaried,Graduate,OBC,Tamil Nadu,0,0,0.37,0,4,0,0,0,0,0,0,0,0
75,Female,710143,Farmer,Postgraduate,SC,Gujarat,1,0,0.79,0,7,0,0,0,0,1,0,0,0
36,Female,933057,Student,Primary,SC,Haryana,0,0,0.58,0,7,0,0,1,0,0,0,0,1
40,Female,732076,Farmer,Graduate,SC,Haryana,1,0,5.37,1,1,0,0,0,0,1,0,0,0
28,Male,604586,Farmer,Secondary,OBC,Andhra Pradesh,1,0,3.67,0,9,0,1,0,0,1,0,0,0
28,Female,870736,Salaried,Secondary,ST,Rajasthan,1,0,8.16,0,4,0,0,0,0,1,0,0,0
41,Male,895792,Student,Primary,OBC,Bihar,0,0,0.82,1,7,0,0,0,0,0,0,1,1
70,Male,99835,Unemployed,Graduate,General,Andhra Pradesh,0,0,0.78,0,9,0,0,0,0,0,0,0,0
53,Male,552757,Business,Postgraduate,SC,Haryana,0,0,0.97,0,2,0,0,0,0,1,0,0,0
57,Male,666712,Student,Primary,OBC,Maharashtra,0,0,0.09,0,8,0,0,0,0,0,0,0,1
41,Female,693478,Farmer,Secondary,SC,West Bengal,1,0,8.39,0,4,0,0,0,0,1,0,0,0
20,Male,284394,Business,Primary,General,Madhya Pradesh,0,0,0.49,0,4,0,0,0,0,0,1,1,0
39,Female,349055,Business,Postgraduate,SC,Rajasthan,0,0,0.67,1,3,0,0,1,0,0,1,0,0
70,Male,133088,Business,Secondary,General,Tamil Nadu,0,0,0.98,0,4,0,0,0,0,0,0,0,0
19,Male,569473,Farmer,Primary,OBC,West Bengal,1,0,0.88,0,9,0,0,0,0,1,0,0,0
41,Female,989296,Unemployed,Primary,General,Andhra Pradesh,0,0,0.69,0,1,0,0,0,0,0,0,1,0
61,Male,604901,Farmer,Secondary,OBC,Karnataka,1,0,7.44,0,9,0,0,0,0,1,0,0,0
47,Male,795372,Salaried,Illiterate,SC,Rajasthan,0,0,0.3,0,9,0,0,0,0,0,0,0,0
55,Female,194999,Business,Secondary,OBC,Andhra Pradesh,1,0,1.61,0,1,1,0,0,0,1,0,0,0
19,Male,292530,Farmer,Postgraduate,General,Haryana,1,0,5.32,0,9,0,0,0,0,1,0,0,0
77,Female,515369,Business,Graduate,OBC,Andhra Pradesh,0,0,0.28,0,6,0,0,0,0,0,0,0,0
38,Male,495944,Farmer,Illiterate,SC,Karnataka,1,0,6.92,0,8,0,0,0,0,1,0,0,0
50,Male,322164,Unemployed,Postgraduate,OBC,Rajasthan,0,0,0.46,0,8,0,0,0,0,0,0,0,1
29,Female,596966,Farmer,Secondary,General,Maharashtra,1,0,7.11,0,8,0,0,0,0,1,0,0,0
75,Male,247767,Unemployed,Primary,General,Punjab,0,0,0.77,0,8,0,0,0,0,0,0,0,0
39,Male,91394,Farmer,Illiterate,ST,Karnataka,1,0,2.62,1,1,1,1,1,0,1,0,0,0
78,Male,754305,Salaried,Primary,OBC,Maharashtra,0,0,0.46,0,1,0,0,0,0,0,0,1,0
61,Male,669665,Student,Graduate,General,Haryana,0,0,0.23,0,7,0,0,0,0,0,0,0,0
42,Female,676004,Student,Illiterate,SC,Bihar,0,0,0.85,0,9,0,0,0,0,0,0,0,1
66,Male,217486,Farmer,Primary,OBC,West Bengal,1,0,4.68,0,8,0,0,0,0,1,0,0,0
44,Female,610206,Salaried,Graduate,General,Bihar,0,0,0.98,0,5,0,0,0,0,0,0,0,0
76,Female,514497,Farmer,Secondary,ST,Karnataka,1,0,7.81,0,8,0,0,0,0,1,0,0,0
59,Male,272556,Salaried,Graduate,OBC,Madhya Pradesh,0,0,0.19,0,9,0,0,0,0,0,0,0,0
45,Female,407784,Farmer,Graduate,OBC,Bihar,1,0,5.17,0,7,0,0,0,0,1,0,0,0
77,Male,714815,Unemployed,Illiterate,OBC,Madhya Pradesh,0,0,0.02,0,3,0,1,0,0,0,1,0,0
33,Female,396590,Farmer,Graduate,SC,Madhya Pradesh,1,0,5.5,1,9,0,0,1,0,1,0,0,0
32,Male,199807,Farmer,Primary,General,Karnataka,1,1,3.29,0,5,1,0,0,0,1,0,1,0
79,Female,124702,Farmer,Secondary,General,Haryana,1,0,9.09,0,8,0,0,0,0,1,0,0,0
79,Male,135509,Student,Secondary,General,Tamil Nadu,0,0,0.13,0,1,1,0,0,1,0,0,0,0
64,Male,385752,Farmer,Primary,SC,Gujarat,1,0,8.11,0,1,0,0,1,0,0,0,0,0
79,Female,144310,Student,Postgraduate,OBC,Andhra Pradesh,0,0,0.84,0,3,0,0,0,1,0,0,0,1
68,Female,959613,Business,Secondary,OBC,Bihar,0,0,0.57,0,2,0,0,0,0,0,0,0,0
61,Male,862234,Salaried,Illiterate,General,Uttar Pradesh,0,0,0.3,0,5,0,0,0,0,0,0,0,0
72,Male,753380,Salaried,Postgraduate,OBC,Punjab,0,0,0.12,0,9,0,0,0,0,1,0,0,1
69,Female,588910,Farmer,Secondary,SC,Bihar,1,0,8.77,0,9,0,0,0,0,1,0,0,0
74,Female,139935,Salaried,Secondary,OBC,Tamil Nadu,0,0,0.73,0,8,0,0,0,0,0,0,0,0
20,Female,290440,Farmer,Secondary,SC,West Bengal,1,1,1.88,0,5,0,0,0,0,1,0,1,0
54,Female,147919,Salaried,Graduate,OBC,Punjab,0,0,0.48,0,3,0,0,0,0,0,0,0,0
68,Female,950101,Farmer,Illiterate,SC,Punjab,1,0,7.08,0,6,0,0,0,0,1,0,1,0
24,Female,988101,Student,Primary,General,Tamil Nadu,0,0,0.21,0,8,0,0,0,0,0,0,0,0
38,Male,726314,Student,Secondary,OBC,Gujarat,0,0,0.82,0,6,0,0,0,0,0,0,0,1
26,Male,99519,Business,Illiterate,ST,Karnataka,1,0,2.66,1,7,1,1,0,0,1,1,0,0
56,Female,741475,Farmer,Graduate,ST,Andhra Pradesh,1,0,2.74,0,7,0,0,0,0,1,0,0,0
35,Female,528204,Salaried,Primary,General,Punjab,0,0,1.0,0,7,0,0,0,0,0,0,0,0
21,Male,990655,Farmer,Primary,OBC,Tamil Nadu,1,0,0.68,0,9,0,0,0,0,0,0,0,0
42,Male,286587,Salaried,Illiterate,General,Bihar,1,0,7.9,0,9,0,0,0,0,1,0,0,0
77,Female,178112,Business,Graduate,SC,West Bengal,0,0,0.23,0,1,0,1,0,0,0,0,0,0
31,Female,74772,Student,Graduate,OBC,Tamil Nadu,0,0,0.25,1,3,0,1,1,1,0,0,0,1
67,Male,152431,Student,Primary,OBC,Uttar Pradesh,0,0,0.99,0,5,0,0,0,1,0,0,0,1
75,Male,912522,Unemployed,Secondary,General,Haryana,0,0,0.34,0,4,0,0,0,0,0,0,0,1
26,Male,224904,Student,Primary,ST,West Bengal,0,0,0.71,0,1,0,0,0,1,0,1,0,1
43,Male,188988,Student,Secondary,OBC,Madhya Pradesh,0,0,0.96,0,1,0,0,0,1,0,0,0,1
70,Male,861303,Salaried,Illiterate,General,Karnataka,0,0,0.82,0,4,0,0,0,0,0,0,0,0
19,Male,544743,Salaried,Secondary,OBC,Rajasthan,0,0,0.6,0,5,0,0,0,0,0,0,0,0
37,Female,842804,Farmer,Secondary,General,Maharashtra,1,0,6.0,0,4,0,0,0,0,1,0,0,0
45,Male,69080,Business,Postgraduate,OBC,Punjab,0,0,0.17,1,2,0,1,1,0,0,1,0,1
64,Female,136242,Student,Primary,ST,Andhra Pradesh,0,0,0.49,0,5,0,0,0,1,0,0,0,1
77,Female,859154,Farmer,Graduate,SC,Karnataka,1,0,4.49,0,3,0,0,0,0,1,0,0,0
24,Male,544080,Salaried,Secondary,OBC,Gujarat,0,1,0.9,1,7,0,0,0,0,0,0,1,0
61,Female,59048,Student,Postgraduate,SC,Karnataka,0,0,0.17,1,4,0,1,1,1,0,0,0,1
78,Male,639493,Farmer,Primary,OBC,Bihar,1,0,1.82,0,2,0,0,0,0,1,0,0,1
25,Female,957281,Salaried,Primary,General,Karnataka,0,0,0.59,0,8,0,0,0,0,0,0,0,0
64,Male,346855,Business,Graduate,ST,Karnataka,0,0,0.48,0,2,0,0,0,0,0,0,0,0
52,Female,197403,Business,Illiterate,OBC,Haryana,0,0,0.12,0,7,0,0,0,0,1,0,0,0
31,Female,286392,Unemployed,Illiterate,OBC,Maharashtra,1,0,6.73,0,8,0,0,0,0,1,1,0,0
34,Male,50968,Business,Illiterate,ST,Rajasthan,1,0,6.58,1,3,0,1,1,0,1,1,0,0
53,Male,477185,Farmer,Graduate,General,West Bengal,1,0,4.14,0,6,1,1,0,0,1,0,0,0
67,Female,264417,Student,Illiterate,SC,Punjab,0,0,0.56,0,4,0,0,0,0,0,0,0,1
57,Female,565580,Business,Graduate,ST,Maharashtra,0,0,0.64,0,2,0,0,0,0,0,0,0,0
21,Male,806230,Student,Secondary,OBC,Bihar,0,0,0.22,0,8,0,0,0,0,0,0,0,1
